time,I_bus_1,I_bus_2,I_bus_3
0.0343,0.47702,-0.67035,0.00083544
0.0344,0.47654,-0.6697,0.00084781
0.0345,0.47607,-0.66904,0.00086014
0.0346,0.4756,-0.66839,0.00087243
0.0347,0.47512,-0.66774,0.00088469
0.0348,0.47465,-0.66709,0.0008969
0.0349,0.47418,-0.66644,0.00090908
0.035,0.47371,-0.66579,0.00092122
0.0351,0.47324,-0.66514,0.00093333
0.0352,0.47277,-0.66449,0.0009454
0.0353,0.4723,-0.66385,0.00095743
0.0354,0.47183,-0.6632,0.00096942
0.0355,0.47136,-0.66255,0.00098137
0.0356,0.47089,-0.66191,0.00099329
0.0357,0.47042,-0.66126,0.0010052
0.0358,0.46996,-0.66062,0.001017
0.0359,0.46949,-0.65997,0.0010288
0.036,0.46902,-0.65933,0.0010406
0.0361,0.46856,-0.65869,0.0010523
0.0362,0.46809,-0.65804,0.001064
0.0363,0.46763,-0.6574,0.0010757
0.0364,0.46716,-0.65676,0.0010873
0.0365,0.4667,-0.65612,0.0010989
0.0366,0.46623,-0.65548,0.0011105
0.0367,0.46577,-0.65484,0.001122
0.0368,0.46531,-0.6542,0.0011334
0.0369,0.46485,-0.65357,0.0011449
0.037,0.46438,-0.65293,0.0011563
0.0371,0.46392,-0.65229,0.0011677
0.0372,0.46346,-0.65166,0.001179
0.0373,0.463,-0.65102,0.0011903
0.0374,0.46254,-0.65039,0.0012016
0.0375,0.46208,-0.64975,0.0012128
0.0376,0.46162,-0.64912,0.001224
0.0377,0.46116,-0.64848,0.0012352
0.0378,0.4607,-0.64785,0.0012463
0.0379,0.46025,-0.64722,0.0012574
0.038,0.45979,-0.64659,0.0012684
0.0381,0.45933,-0.64596,0.0012795
0.0382,0.45888,-0.64533,0.0012904
0.0383,0.45842,-0.6447,0.0013014
0.0384,0.45797,-0.64407,0.0013123
0.0385,0.45751,-0.64344,0.0013232
0.0386,0.45706,-0.64282,0.001334
0.0387,0.4566,-0.64219,0.0013448
0.0388,0.45615,-0.64156,0.0013556
0.0389,0.45569,-0.64094,0.0013664
0.039,0.45524,-0.64031,0.0013771
0.0391,0.45479,-0.63969,0.0013877
0.0392,0.45434,-0.63906,0.0013984
0.0393,0.45389,-0.63844,0.001409
