time,V_bus_1,V_bus_2,V_bus_3,V_MG
0.40874,800.22,800.25,800.25,800.24
0.40984,800.31,800.19,800.23,800.24
0.41095,800.08,800.32,800.26,800.22
0.412,800.51,800.09,800.2,800.27
0.413,799.95,800.36,800.26,800.19
0.41401,800.54,800.09,800.2,800.28
0.41503,799.91,800.36,800.26,800.18
0.41606,800.6,800.08,800.2,800.29
0.41697,800.07,800.28,800.24,800.19
0.41779,800.27,800.2,800.22,800.23
0.4187,800.21,800.22,800.22,800.21
0.41988,800.25,800.21,800.22,800.22
0.42085,800.21,800.2,800.21,800.21
0.42183,800.21,800.22,800.22,800.21
0.42287,800.25,800.18,800.2,800.21
0.42393,800.12,800.26,800.22,800.2
0.42495,800.34,800.13,800.19,800.22
0.42592,800.08,800.26,800.22,800.19
0.42692,800.35,800.12,800.19,800.22
0.42804,799.89,800.34,800.23,800.15
0.42916,800.88,799.91,800.14,800.31
0.43015,799.66,800.43,800.25,800.11
0.43102,800.4,800.12,800.19,800.24
0.4318,800.16,800.2,800.2,800.19
0.43274,800.22,800.18,800.19,800.19
0.43412,800.06,800.22,800.19,800.16
0.43495,800.22,800.17,800.18,800.19
0.43577,800.18,800.18,800.18,800.18
0.43695,800.2,800.17,800.18,800.19
0.43806,800.18,800.17,800.18,800.17
0.43916,800.15,800.21,800.19,800.18
0.44017,800.26,800.12,800.16,800.18
0.44106,800.13,800.2,800.18,800.17
0.44198,800.21,800.15,800.17,800.18
0.44307,800.1,800.21,800.18,800.16
0.44428,800.49,800.01,800.14,800.21
0.4454,799.48,800.5,800.24,800.07
0.44636,800.73,799.93,800.12,800.26
0.44722,799.98,800.25,800.19,800.14
0.44816,800.28,800.11,800.16,800.19
0.44922,800.02,800.21,800.17,800.13
0.45029,800.34,800.1,800.15,800.2
0.45121,800.1,800.17,800.16,800.14
0.45203,800.18,800.15,800.16,800.16
0.45295,800.15,800.15,800.16,800.15
0.45414,800.15,800.16,800.16,800.16
0.45513,800.18,800.13,800.15,800.15
0.45611,800.11,800.17,800.16,800.15
0.45717,800.23,800.1,800.14,800.16
0.45826,799.98,800.23,800.17,800.13
0.4593,800.4,800.02,800.12,800.18
0.46031,799.86,800.28,800.17,800.1
0.46133,800.49,799.99,800.11,800.2
0.46235,799.8,800.29,800.17,800.09
0.46336,800.49,800.01,800.12,800.21
0.46423,800.02,800.18,800.15,800.12
0.46506,800.17,800.12,800.14,800.14
