time,I_bus_1,I_bus_2,I_bus_3
0.32592,0.079392,-0.055056,-0.0067075
0.32716,-0.11744,0.036669,0.0093816
0.328,0.053593,-0.040411,-0.0057261
0.32883,0.0083126,-0.0234,-0.0027309
0.32996,0.012499,-0.023068,-0.0033589
0.33099,0.048339,-0.041703,-0.0038569
0.33202,-0.054078,0.010509,0.0017642
0.33297,0.079846,-0.056984,-0.0058158
0.33385,-0.014701,-0.0086171,-0.00013714
0.33479,0.041654,-0.036353,-0.0034795
0.33589,-0.036069,0.0022986,0.0014838
0.33704,0.15325,-0.09123,-0.010866
0.33805,-0.12828,0.047623,0.0078621
0.33893,0.074741,-0.051249,-0.0057413
0.33986,-0.016128,-0.0070973,0.00042985
0.34098,0.071754,-0.049287,-0.005861
0.34225,-0.15192,0.057566,0.011402
0.3431,0.06444,-0.042697,-0.0059745
0.34396,0.0021144,-0.017514,-0.0017484
0.34508,0.014086,-0.021315,-0.0032875
0.3461,0.042738,-0.036833,-0.0033145
0.34711,-0.047437,0.0094855,0.0013651
0.34805,0.069195,-0.049464,-0.0050802
0.34895,-0.016736,-0.0054332,4.701e-05
0.3499,0.042284,-0.034554,-0.0034135
0.351,-0.042775,0.0077402,0.0020056
0.35212,0.14087,-0.08306,-0.009907
0.35311,-0.10865,0.040104,0.0066136
0.354,0.068549,-0.046228,-0.0052042
0.35495,-0.021046,-0.0025929,0.00088369
0.35608,0.075849,-0.049146,-0.0060294
0.35731,-0.15166,0.059931,0.01139
0.35818,0.06382,-0.040428,-0.0058652
0.35904,-0.00052917,-0.014234,-0.0014221
0.36016,0.0097175,-0.017168,-0.0029525
0.36115,0.040328,-0.033621,-0.0031222
0.36215,-0.038958,0.0072948,0.0010412
0.3631,0.062544,-0.04401,-0.0045534
0.36403,-0.025227,0.00068337,0.00071974
0.365,0.049242,-0.036179,-0.0037408
0.36606,-0.047103,0.01168,0.0024003
0.36713,0.11038,-0.065941,-0.007819
0.36813,-0.085164,0.03044,0.0051686
0.36907,0.073701,-0.046884,-0.0055238
0.37006,-0.037887,0.0073678,0.0021703
0.37116,0.087621,-0.052594,-0.0069253
0.37236,-0.13334,0.052045,0.010611
0.3734,0.071468,-0.038527,-0.0093606
0.37426,0.014224,-0.023356,-0.0036291
0.37504,0.013008,-0.023958,-0.0068093
0.37595,0.0095489,-0.018562,-0.0047367
0.37734,-0.032566,0.0068952,-1.907e-06
0.3782,0.03272,-0.026511,-0.0022247
0.37907,0.00082893,-0.010229,-0.00049044
0.38015,0.035347,-0.027723,-0.0026099
0.38142,-0.14013,0.058444,0.007957
0.38222,0.040761,-0.030382,-0.003081
0.38303,0.0042478,-0.011598,-0.00072946
0.38418,0.028532,-0.023627,-0.0022379
0.38534,-0.04457,0.012405,0.002401
0.38651,0.16112,-0.088776,-0.011193
0.38752,-0.14609,0.062404,0.0095193
0.3884,0.070533,-0.043095,-0.0052455
0.38933,-0.024228,0.0024984,0.0012355
0.39048,0.071568,-0.043151,-0.0057799
0.39176,-0.16531,0.066666,0.013643
0.39256,0.056408,-0.033935,-0.0054918
0.39335,-0.0029587,-0.010305,-0.0020179
0.39453,0.024385,-0.021377,-0.0037353
0.39572,0.015276,-0.018912,-0.00060938
0.39657,-0.00013424,-0.0077431,-0.0010392
0.39743,0.014469,-0.01621,-0.0014699
0.39852,-0.012082,-0.0022429,-6.358e-05
0.39979,0.15525,-0.088896,-0.0098949
0.40056,-0.008254,-0.0043084,-0.00013442
0.40133,0.010284,-0.013035,-0.00098659
0.40254,-0.00098924,-0.0072272,-0.00033974
0.40374,0.053668,-0.034942,-0.0036618
0.40495,-0.18343,0.080982,0.010819
0.40593,0.18386,-0.10079,-0.012343
0.40671,-0.021912,0.0033006,0.0011306
0.40756,0.018402,-0.016259,-0.001278
0.40874,-0.022763,0.0037877,0.0012626
0.40984,0.066167,-0.039872,-0.0047736
0.41095,-0.094245,0.038625,0.0061419
0.412,0.13302,-0.070442,-0.0097351
0.413,-0.086333,0.03518,0.0061863
0.41401,0.069364,-0.038871,-0.006338
0.41503,-0.011953,-0.0039175,0.0010027
0.41606,-0.037367,0.011035,-0.00078244
0.41697,0.052624,-0.03676,-0.0044282
0.41779,-0.0061826,-0.0052029,-0.001482
0.4187,0.017089,-0.015909,-0.0020547
0.41988,-0.036381,0.011469,0.0016658
0.42085,0.050986,-0.032181,-0.0034636
0.42183,-0.03473,0.010544,0.0018851
0.42287,0.065176,-0.038776,-0.0045413
0.42393,-0.08318,0.034215,0.0051957
0.42495,0.10409,-0.057019,-0.0073407
0.42592,-0.065133,0.025564,0.0042802
0.42692,0.067973,-0.038681,-0.0051906
0.42804,-0.078519,0.031291,0.0058258
0.42916,0.089355,-0.045598,-0.0089
0.43015,0.022084,-0.021078,-0.00032785
0.43102,-0.01899,-0.001027,-0.0033688
0.4318,0.003745,-0.01272,-0.0041096
0.43274,0.0025047,-0.0083816,-0.0025911
0.43412,0.07039,-0.042287,-0.0043448
0.43495,-0.010632,-0.00011114,0.00035321
0.43577,0.010606,-0.01093,-0.00077541
0.43695,-0.013111,0.00097018,0.00049311
0.43806,0.053355,-0.032387,-0.003617
0.43916,-0.10226,0.044379,0.0061263
0.44017,0.12142,-0.065875,-0.0082126
0.44106,-0.048099,0.018231,0.0029629
0.44198,0.036565,-0.023155,-0.0026218
0.44307,-0.043427,0.015814,0.0027924
0.44428,0.14428,-0.074121,-0.010515
0.4454,-0.19677,0.092135,0.015229
0.44636,0.10484,-0.04924,-0.0096339
0.44722,-0.017534,-0.00090853,-0.001059
0.44816,0.0015571,-0.0087702,-0.0039514
0.44922,0.037794,-0.026554,-0.0036461
0.45029,-0.098768,0.042877,0.0045138
0.45121,0.078423,-0.04578,-0.0051111
0.45203,-0.013594,0.0017105,0.00040658
0.45295,0.01812,-0.013788,-0.0013495
0.45414,-0.044822,0.017393,0.0025871
0.45513,0.054259,-0.031656,-0.0037235
0.45611,-0.041351,0.015588,0.0024841
0.45717,0.071408,-0.039531,-0.0050131
0.45826,-0.098332,0.043436,0.0066183
0.4593,0.11711,-0.059984,-0.0085134
0.46031,-0.083444,0.036244,0.0061235
0.46133,0.064992,-0.033851,-0.0060264
0.46235,-0.007817,-0.00367,0.0010112
0.46336,-0.046236,0.017666,-0.00015043
0.46423,0.037199,-0.026239,-0.0036542
0.46506,-0.0059528,-0.0025675,-0.0013001
0.46603,0.016932,-0.013111,-0.0017598
0.46726,-0.066056,0.028544,0.0036627
0.46816,0.04264,-0.025534,-0.0027935
0.46905,-0.015782,0.0037552,0.00083155
0.47014,0.04164,-0.024646,-0.0028597
0.47135,-0.13178,0.060322,0.0084744
0.47243,0.21733,-0.10977,-0.014856
0.4733,-0.07852,0.034998,0.0052924
0.47418,0.034493,-0.020666,-0.0026463
0.47526,-0.038223,0.014328,0.0024927
0.47656,0.15131,-0.074408,-0.012159
0.47743,-0.033981,0.013924,0.0028012
0.47831,0.011575,-0.010426,-0.0023162
0.47939,0.015226,-0.013743,-0.00155
0.48036,-0.023066,0.0078832,0.00028326
0.48132,0.037118,-0.022929,-0.0025068
0.48232,-0.043646,0.017925,0.0022659
0.48333,0.06715,-0.037484,-0.0043813
0.48432,-0.063158,0.027422,0.0037811
0.48528,0.059199,-0.032811,-0.0039816
0.48626,-0.047282,0.019744,0.0029871
0.48731,0.068031,-0.036595,-0.004721
0.48838,-0.089074,0.040078,0.0060734
0.48944,0.11272,-0.056601,-0.008222
0.49048,-0.094854,0.042905,0.0072095
0.49149,0.062035,-0.030643,-0.0060918
0.49247,0.00068784,-0.0069334,0.00010642
0.49345,-0.039272,0.014923,-0.00042947
0.49433,0.030477,-0.021157,-0.0032673
0.4952,-0.01206,0.0020989,-0.000545
0.49621,0.026537,-0.016646,-0.0020303
0.49738,-0.083112,0.037799,0.0048998
0.49848,0.18579,-0.097369,-0.012045
0.49937,-0.083887,0.037854,0.0052616
0.50018,0.023619,-0.014396,-0.0014716
0.50082,4.7466,4.5162,2.3199
0.50145,9.9332,11.187,7.6663
0.50222,10.812,13.958,12.89
0.50317,9.8826,13.308,14.592
0.50411,10.074,13.324,14.341
0.50547,10.284,13.605,14.493
0.50687,10.455,13.653,14.719
0.50774,10.379,13.679,14.779
0.5086,10.357,13.696,14.808
0.50971,10.356,13.67,14.834
0.51099,10.44,13.58,14.854
0.51185,10.349,13.616,14.883
0.51271,10.307,13.619,14.904
0.5138,10.302,13.591,14.925
0.51506,10.367,13.51,14.941
0.51595,10.293,13.535,14.966
0.51683,10.254,13.536,14.987
0.51791,10.249,13.508,15.007
0.51914,10.306,13.434,15.022
0.52004,10.238,13.454,15.046
0.52093,10.2,13.455,15.067
0.522,10.195,13.428,15.086
0.52322,10.245,13.36,15.102
0.52432,10.301,13.294,15.115
0.52523,10.203,13.334,15.142
0.52607,10.136,13.356,15.165
0.52704,10.117,13.343,15.184
0.52822,10.135,13.299,15.202
0.52941,10.221,13.21,15.213
0.53041,10.187,13.207,15.234
0.53124,10.085,13.253,15.26
0.53213,10.047,13.256,15.28
0.53321,10.044,13.23,15.299
0.53444,10.102,13.159,15.312
0.53555,10.164,13.091,15.323
0.53644,10.053,13.142,15.351
0.53726,9.9858,13.167,15.373
0.53824,9.9676,13.155,15.392
0.53943,9.9886,13.111,15.409
0.54063,10.084,13.017,15.417
0.54162,10.044,13.021,15.438
0.54244,9.9365,13.073,15.464
0.54332,9.8998,13.077,15.483
0.54441,9.8974,13.053,15.501
0.54565,9.9608,12.98,15.513
0.54653,9.8873,13.009,15.536
0.54741,9.849,13.015,15.555
0.54848,9.8445,12.993,15.572
0.54971,9.8991,12.927,15.585
0.55082,9.9653,12.858,15.594
0.55172,9.8592,12.909,15.621
0.55254,9.7905,12.937,15.642
0.55351,9.7717,12.929,15.659
0.55469,9.7905,12.889,15.675
0.5559,9.8841,12.799,15.682
0.55689,9.8529,12.799,15.701
0.55771,9.7449,12.854,15.727
0.55859,9.7072,12.861,15.744
0.55967,9.7039,12.841,15.761
0.5609,9.7636,12.773,15.772
0.56179,9.6957,12.801,15.794
0.56267,9.659,12.808,15.811
0.56374,9.6555,12.788,15.827
0.56496,9.7081,12.726,15.838
0.56607,9.7674,12.664,15.847
0.56696,9.6682,12.713,15.872
0.56779,9.6031,12.741,15.892
0.56876,9.5853,12.734,15.909
0.56994,9.6047,12.697,15.923
0.57113,9.6932,12.612,15.929
0.57212,9.6612,12.615,15.947
0.57295,9.5594,12.668,15.971
0.57383,9.5235,12.676,15.988
0.57491,9.5213,12.657,16.003
0.57614,9.5804,12.592,16.013
0.57702,9.5135,12.622,16.033
0.5779,9.4775,12.631,16.05
0.57897,9.4743,12.613,16.065
0.58019,9.5263,12.554,16.075
0.58129,9.5852,12.493,16.082
0.58219,9.4885,12.543,16.106
0.58302,9.4245,12.572,16.125
0.58398,9.4072,12.567,16.141
0.58516,9.4268,12.532,16.154
0.58635,9.5141,12.45,16.158
0.58734,9.4838,12.455,16.175
0.58817,9.3837,12.509,16.198
0.58904,9.3485,12.518,16.214
0.59012,9.3467,12.501,16.228
0.59135,9.4054,12.438,16.236
0.59223,9.3401,12.469,16.256
0.59312,9.3049,12.479,16.272
0.59419,9.3023,12.462,16.286
0.5954,9.3541,12.406,16.294
0.5965,9.4121,12.348,16.3
0.59739,9.3176,12.398,16.323
0.59822,9.2549,12.428,16.342
0.59919,9.2383,12.425,16.356
0.60036,9.2583,12.391,16.367
0.60155,9.3447,12.312,16.37
0.60254,9.315,12.318,16.386
0.60337,9.217,12.372,16.409
0.60424,9.1826,12.383,16.424
0.60532,9.1814,12.367,16.437
0.60655,9.24,12.307,16.443
0.60743,9.1758,12.338,16.462
0.60831,9.1414,12.349,16.477
0.60938,9.1394,12.335,16.49
0.61059,9.1911,12.28,16.496
0.61169,9.2489,12.223,16.501
0.61258,9.1561,12.275,16.524
0.61341,9.0944,12.306,16.541
0.61438,9.0784,12.303,16.554
0.61555,9.0988,12.272,16.565
0.61674,9.1847,12.194,16.566
0.61772,9.1559,12.201,16.581
0.61855,9.0593,12.257,16.603
0.61943,9.0257,12.268,16.617
0.6205,9.0251,12.254,16.629
0.62173,9.0836,12.195,16.634
0.62261,9.0205,12.228,16.652
0.62349,8.9869,12.24,16.666
0.62456,8.9854,12.226,16.678
0.62576,9.0372,12.173,16.683
0.62686,9.0949,12.118,16.687
0.62776,9.0035,12.17,16.709
0.62858,8.9428,12.202,16.726
0.62955,8.9274,12.201,16.738
0.63072,8.9481,12.171,16.747
0.63191,9.0339,12.094,16.747
0.63289,9.0058,12.102,16.761
0.63372,8.9105,12.159,16.782
0.63459,8.8776,12.171,16.795
0.63567,8.8775,12.158,16.806
