time,V_MG
0.1208,804.49
0.1209,804.49
0.121,804.49
0.1211,804.48
0.1212,804.48
0.1213,804.47
0.1214,804.47
0.1215,804.46
0.1216,804.46
0.1217,804.45
0.1218,804.45
0.1219,804.45
0.122,804.44
0.1221,804.44
0.1222,804.43
0.1223,804.43
0.1224,804.42
0.1225,804.42
0.1226,804.41
0.1227,804.41
0.1228,804.41
0.1229,804.4
0.123,804.4
0.1231,804.39
0.1232,804.39
0.1233,804.38
0.1234,804.38
0.1235,804.38
0.1236,804.37
0.1237,804.37
0.1238,804.36
0.1239,804.36
0.124,804.35
0.1241,804.35
0.1242,804.35
0.1243,804.34
0.1244,804.34
0.1245,804.33
0.1246,804.33
0.1247,804.32
0.1248,804.32
0.1249,804.32
0.125,804.31
0.1251,804.31
0.1252,804.3
0.1253,804.3
0.1254,804.29
0.1255,804.29
0.1256,804.29
0.1257,804.28
0.1258,804.28
0.1259,804.27
0.126,804.27
0.1261,804.26
0.1262,804.26
0.1263,804.26
0.1264,804.25
0.1265,804.25
0.1266,804.24
0.1267,804.24
0.1268,804.23
0.1269,804.23
0.127,804.23
0.1271,804.22
0.1272,804.22
0.1273,804.21
0.1274,804.21
0.1275,804.21
0.1276,804.2
0.1277,804.2
0.1278,804.19
0.1279,804.19
0.128,804.18
0.1281,804.18
0.1282,804.18
0.1283,804.17
0.1284,804.17
0.1285,804.16
0.1286,804.16
0.1287,804.16
0.1288,804.15
0.1289,804.15
0.129,804.14
0.1291,804.14
0.1292,804.14
0.1293,804.13
0.1294,804.13
0.1295,804.12
0.1296,804.12
0.1297,804.11
0.1298,804.11
0.1299,804.11
0.13,804.1
0.1301,804.1
0.1302,804.09
0.1303,804.09
0.1304,804.09
0.1305,804.08
0.1306,804.08
0.1307,804.07
0.1308,804.07
0.1309,804.07
0.131,804.06
0.1311,804.06
0.1312,804.05
0.1313,804.05
0.1314,804.05
0.1315,804.04
0.1316,804.04
0.1317,804.03
0.1318,804.03
0.1319,804.03
0.132,804.02
0.1321,804.02
0.1322,804.01
0.1323,804.01
0.1324,804.01
0.1325,804
0.1326,804
0.1327,803.99
0.1328,803.99
0.1329,803.99
0.133,803.98
0.1331,803.98
0.1332,803.97
0.1333,803.97
0.1334,803.97
0.1335,803.96
0.1336,803.96
0.1337,803.95
0.1338,803.95
0.1339,803.95
0.134,803.94
0.1341,803.94
0.1342,803.94
0.1343,803.93
0.1344,803.93
0.1345,803.92
0.1346,803.92
0.1347,803.92
0.1348,803.91
0.1349,803.91
0.135,803.9
0.1351,803.9
0.1352,803.9
0.1353,803.89
0.1354,803.89
0.1355,803.89
0.1356,803.88
0.1357,803.88
0.1358,803.87
0.1359,803.87
0.136,803.87
0.1361,803.86
0.1362,803.86
0.1363,803.85
0.1364,803.85
0.1365,803.85
0.1366,803.84
0.1367,803.84
0.1368,803.84
0.1369,803.83
0.137,803.83
0.1371,803.82
0.1372,803.82
0.1373,803.82
0.1374,803.81
0.1375,803.81
0.1376,803.81
0.1377,803.8
0.1378,803.8
0.1379,803.79
0.138,803.79
0.1381,803.79
0.1382,803.78
0.1383,803.78
0.1384,803.78
0.1385,803.77
0.1386,803.77
0.1387,803.76
0.1388,803.76
0.1389,803.76
0.139,803.75
0.1391,803.75
0.1392,803.75
0.1393,803.74
0.1394,803.74
0.1395,803.73
0.1396,803.73
0.1397,803.73
0.1398,803.72
0.1399,803.72
0.14,803.72
0.1401,803.71
0.1402,803.71
0.1403,803.7
0.1404,803.7
0.1405,803.7
0.1406,803.69
0.1407,803.69
0.1408,803.69
0.1409,803.68
0.141,803.68
0.1411,803.68
0.1412,803.67
0.1413,803.67
0.1414,803.66
0.1415,803.66
0.1416,803.66
0.1417,803.65
0.1418,803.65
0.1419,803.65
0.142,803.64
0.1421,803.64
0.1422,803.64
0.1423,803.63
0.1424,803.63
0.1425,803.62
0.1426,803.62
0.1427,803.62
0.1428,803.61
0.1429,803.61
0.143,803.61
0.1431,803.6
0.1432,803.6
0.1433,803.6
0.1434,803.59
0.1435,803.59
0.1436,803.59
0.1437,803.58
0.1438,803.58
0.1439,803.57
0.144,803.57
0.1441,803.57
0.1442,803.56
0.1443,803.56
0.1444,803.56
0.1445,803.55
0.1446,803.55
0.1447,803.55
0.1448,803.54
0.1449,803.54
0.145,803.54
0.1451,803.53
0.1452,803.53
0.1453,803.53
0.1454,803.52
0.1455,803.52
0.1456,803.52
0.1457,803.51
0.1458,803.51
0.1459,803.5
0.146,803.5
0.1461,803.5
0.1462,803.49
0.1463,803.49
0.1464,803.49
0.1465,803.48
0.1466,803.48
0.1467,803.48
0.1468,803.47
0.1469,803.47
0.147,803.47
0.1471,803.46
0.1472,803.46
0.1473,803.46
0.1474,803.45
0.1475,803.45
0.1476,803.45
0.1477,803.44
0.1478,803.44
0.1479,803.44
0.148,803.43
0.1481,803.43
0.1482,803.43
0.1483,803.42
0.1484,803.42
0.1485,803.42
0.1486,803.41
0.1487,803.41
0.1488,803.41
0.1489,803.4
0.149,803.4
0.1491,803.4
0.1492,803.39
0.1493,803.39
0.1494,803.39
0.1495,803.38
0.1496,803.38
0.1497,803.38
0.1498,803.37
0.1499,803.37
0.15,803.37
0.1501,803.36
0.1502,803.36
0.1503,803.36
0.1504,803.35
0.1505,803.35
0.1506,803.35
0.1507,803.34
0.1508,803.34
0.1509,803.34
0.151,803.33
0.1511,803.33
0.1512,803.33
0.1513,803.32
0.1514,803.32
0.1515,803.32
